"ID";"ModesOfTravel";"Population";"Margins";"RegionCharacteristics";"Periods";"TransportPerformance_1"
"0";"T001093";"A048710";"MW00000";"NL01    ";"2018JJ00";"   218.1"
"1";"T001093";"A048710";"MW00000";"NL01    ";"2019JJ00";"   218.8"
"2";"T001093";"A048710";"MW00000";"NL01    ";"2020JJ00";"   152.0"
"3";"T001093";"A048710";"MW00000";"NL01    ";"2021JJ00";"   168.4"
"4";"T001093";"A048710";"MW00000";"NL01    ";"2022JJ00";"   186.9"
"5";"T001093";"A048710";"MW00000";"LD01    ";"2018JJ00";"    25.0"
"6";"T001093";"A048710";"MW00000";"LD01    ";"2019JJ00";"    25.1"
"7";"T001093";"A048710";"MW00000";"LD01    ";"2020JJ00";"    17.1"
"8";"T001093";"A048710";"MW00000";"LD01    ";"2021JJ00";"    19.4"
"9";"T001093";"A048710";"MW00000";"LD01    ";"2022JJ00";"    21.6"
"10";"T001093";"A048710";"MW00000";"LD02    ";"2018JJ00";"    49.3"
"11";"T001093";"A048710";"MW00000";"LD02    ";"2019JJ00";"    49.8"
"12";"T001093";"A048710";"MW00000";"LD02    ";"2020JJ00";"    35.1"
"13";"T001093";"A048710";"MW00000";"LD02    ";"2021JJ00";"    38.7"
"14";"T001093";"A048710";"MW00000";"LD02    ";"2022JJ00";"    43.1"
"15";"T001093";"A048710";"MW00000";"LD03    ";"2018JJ00";"    98.7"
"16";"T001093";"A048710";"MW00000";"LD03    ";"2019JJ00";"    99.6"
"17";"T001093";"A048710";"MW00000";"LD03    ";"2020JJ00";"    68.4"
"18";"T001093";"A048710";"MW00000";"LD03    ";"2021JJ00";"    76.1"
"19";"T001093";"A048710";"MW00000";"LD03    ";"2022JJ00";"    82.8"
"20";"T001093";"A048710";"MW00000";"LD04    ";"2018JJ00";"    45.1"
"21";"T001093";"A048710";"MW00000";"LD04    ";"2019JJ00";"    44.4"
"22";"T001093";"A048710";"MW00000";"LD04    ";"2020JJ00";"    31.6"
"23";"T001093";"A048710";"MW00000";"LD04    ";"2021JJ00";"    34.1"
"24";"T001093";"A048710";"MW00000";"LD04    ";"2022JJ00";"    39.4"
"25";"T001093";"A048710";"MW00000";"PV20    ";"2018JJ00";"     7.8"
"26";"T001093";"A048710";"MW00000";"PV20    ";"2019JJ00";"     8.1"
"27";"T001093";"A048710";"MW00000";"PV20    ";"2020JJ00";"     5.5"
"28";"T001093";"A048710";"MW00000";"PV20    ";"2021JJ00";"     6.3"
"29";"T001093";"A048710";"MW00000";"PV20    ";"2022JJ00";"     7.0"
"30";"T001093";"A048710";"MW00000";"PV21    ";"2018JJ00";"     9.6"
"31";"T001093";"A048710";"MW00000";"PV21    ";"2019JJ00";"    10.0"
"32";"T001093";"A048710";"MW00000";"PV21    ";"2020JJ00";"     6.8"
"33";"T001093";"A048710";"MW00000";"PV21    ";"2021JJ00";"     7.5"
"34";"T001093";"A048710";"MW00000";"PV21    ";"2022JJ00";"     8.5"
"35";"T001093";"A048710";"MW00000";"PV22    ";"2018JJ00";"     7.5"
"36";"T001093";"A048710";"MW00000";"PV22    ";"2019JJ00";"     7.0"
"37";"T001093";"A048710";"MW00000";"PV22    ";"2020JJ00";"     4.9"
"38";"T001093";"A048710";"MW00000";"PV22    ";"2021JJ00";"     5.6"
"39";"T001093";"A048710";"MW00000";"PV22    ";"2022JJ00";"     6.1"
"40";"T001093";"A048710";"MW00000";"PV23    ";"2018JJ00";"    15.5"
"41";"T001093";"A048710";"MW00000";"PV23    ";"2019JJ00";"    15.7"
"42";"T001093";"A048710";"MW00000";"PV23    ";"2020JJ00";"    10.5"
"43";"T001093";"A048710";"MW00000";"PV23    ";"2021JJ00";"    11.7"
"44";"T001093";"A048710";"MW00000";"PV23    ";"2022JJ00";"    13.3"
"45";"T001093";"A048710";"MW00000";"PV24    ";"2018JJ00";"     6.1"
"46";"T001093";"A048710";"MW00000";"PV24    ";"2019JJ00";"     6.1"
"47";"T001093";"A048710";"MW00000";"PV24    ";"2020JJ00";"     4.4"
"48";"T001093";"A048710";"MW00000";"PV24    ";"2021JJ00";"     4.9"
"49";"T001093";"A048710";"MW00000";"PV24    ";"2022JJ00";"     5.4"
"50";"T001093";"A048710";"MW00000";"PV25    ";"2018JJ00";"    27.8"
"51";"T001093";"A048710";"MW00000";"PV25    ";"2019JJ00";"    28.0"
"52";"T001093";"A048710";"MW00000";"PV25    ";"2020JJ00";"    20.1"
"53";"T001093";"A048710";"MW00000";"PV25    ";"2021JJ00";"    22.1"
"54";"T001093";"A048710";"MW00000";"PV25    ";"2022JJ00";"    24.4"
"55";"T001093";"A048710";"MW00000";"PV26    ";"2018JJ00";"    16.8"
"56";"T001093";"A048710";"MW00000";"PV26    ";"2019JJ00";"    18.8"
"57";"T001093";"A048710";"MW00000";"PV26    ";"2020JJ00";"    12.6"
"58";"T001093";"A048710";"MW00000";"PV26    ";"2021JJ00";"    13.6"
"59";"T001093";"A048710";"MW00000";"PV26    ";"2022JJ00";"    15.2"
"60";"T001093";"A048710";"MW00000";"PV27    ";"2018JJ00";"    35.3"
"61";"T001093";"A048710";"MW00000";"PV27    ";"2019JJ00";"    33.1"
"62";"T001093";"A048710";"MW00000";"PV27    ";"2020JJ00";"    22.6"
"63";"T001093";"A048710";"MW00000";"PV27    ";"2021JJ00";"    25.4"
"64";"T001093";"A048710";"MW00000";"PV27    ";"2022JJ00";"    28.3"
"65";"T001093";"A048710";"MW00000";"PV28    ";"2018JJ00";"    42.2"
"66";"T001093";"A048710";"MW00000";"PV28    ";"2019JJ00";"    42.7"
"67";"T001093";"A048710";"MW00000";"PV28    ";"2020JJ00";"    29.3"
"68";"T001093";"A048710";"MW00000";"PV28    ";"2021JJ00";"    32.8"
"69";"T001093";"A048710";"MW00000";"PV28    ";"2022JJ00";"    35.0"
"70";"T001093";"A048710";"MW00000";"PV29    ";"2018JJ00";"     4.4"
"71";"T001093";"A048710";"MW00000";"PV29    ";"2019JJ00";"     5.0"
"72";"T001093";"A048710";"MW00000";"PV29    ";"2020JJ00";"     3.8"
"73";"T001093";"A048710";"MW00000";"PV29    ";"2021JJ00";"     4.4"
"74";"T001093";"A048710";"MW00000";"PV29    ";"2022JJ00";"     4.4"
"75";"T001093";"A048710";"MW00000";"PV30    ";"2018JJ00";"    32.2"
"76";"T001093";"A048710";"MW00000";"PV30    ";"2019JJ00";"    32.0"
"77";"T001093";"A048710";"MW00000";"PV30    ";"2020JJ00";"    22.2"
"78";"T001093";"A048710";"MW00000";"PV30    ";"2021JJ00";"    24.2"
"79";"T001093";"A048710";"MW00000";"PV30    ";"2022JJ00";"    28.2"
"80";"T001093";"A048710";"MW00000";"PV31    ";"2018JJ00";"    12.9"
"81";"T001093";"A048710";"MW00000";"PV31    ";"2019JJ00";"    12.4"
"82";"T001093";"A048710";"MW00000";"PV31    ";"2020JJ00";"     9.4"
"83";"T001093";"A048710";"MW00000";"PV31    ";"2021JJ00";"     9.9"
"84";"T001093";"A048710";"MW00000";"PV31    ";"2022JJ00";"    11.2"
