"Perioden";"Ladingtonkilometer/Totaal afgelegde ladingtonkilometer (mln tonkm)";"Ladingtonkilometer/Binnenlands goederenvervoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Totaal internationaal goederenvervoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Totaal aan- en afvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Aanvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Afvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Doorvoer (mln tonkm)"
"1990";3068;1019;2049;2037;887;1149;12
"1991";3036;998;2038;2031;818;1213;7
"1992";2751;966;1785;1785;737;1048;0
"1993";2670;973;1697;1697;676;1020;0
"1994";2806;857;1949;1949;716;1233;0
"1995";3016;721;2295;2295;855;1440;0
"1996";3164;778;2386;2386;894;1491;0
"1997";3434;814;2621;2621;902;1719;0
"1998";3714;742;2972;2972;1015;1958;0
"1999";3988;878;3110;3110;1029;2081;0
"2000";4610;1033;3577;3577;1150;2427;0
"2001";4293;839;3454;3454;1017;2437;0
"2002";4323;988;3335;3335;917;2418;0
"2003";4705;1034;3671;3671;873;2798;0
"2004";5831;1236;4595;4543;1128;3415;52
"2005";5914;1073;4841;4786;1348;3439;55
"2006";6289;1116;5174;5116;1292;3824;58
"2007";7216;1195;6021;5815;1456;4358;206
"2008";6984;1059;5925;5539;1420;4119;386
"2009";5578;941;4637;4276;1082;3194;361
"2010";5925;950;4975;4606;1153;3453;369
"2011";6378;971;5407;5083;1220;3863;324
"2012";6142;612;5530;5212;1212;4000;318
"2013";6078;538;5539;5239;1115;4124;300
"2014";6169;542;5628;5402;1243;4159;226
"2015";6545;466;6080;5756;1406;4350;324
"2016";6641;421;6221;5865;1468;4397;356
"2017";6467;423;6044;5475;1508;3967;569
"2018**";7026;509;6517;5790;1749;4041;727
"2019**";7080;505;6575;5796;1451;4345;778
"2020*";6665;503;6162;5414;1432;3982;747
"2021*";7188;541;6646;5967;1575;4391;680
"2022*";7176;551;6625;5997;1523;4474;629
