"Perioden";"Vervoerd ladinggewicht/Totaal vervoerd ladinggewicht (1 000 ton)";"Vervoerd ladinggewicht/Binnenlands goederenvervoer (1 000 ton)";"Vervoerd ladinggewicht/Internationaal goederenvervoer/Totaal internationaal goederenvervoer (1 000 ton)";"Vervoerd ladinggewicht/Internationaal goederenvervoer/Aan- en afvoer/Totaal aan- en afvoer (1 000 ton)";"Vervoerd ladinggewicht/Internationaal goederenvervoer/Aan- en afvoer/Aanvoer (1 000 ton)";"Vervoerd ladinggewicht/Internationaal goederenvervoer/Aan- en afvoer/Afvoer (1 000 ton)";"Vervoerd ladinggewicht/Internationaal goederenvervoer/Doorvoer (1 000 ton)";"Ladingtonkilometer/Totaal afgelegde ladingtonkilometer (mln tonkm)";"Ladingtonkilometer/Binnenlands goederenvervoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Totaal internationaal goederenvervoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Totaal aan- en afvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Aanvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Aan- en afvoer/Afvoer (mln tonkm)";"Ladingtonkilometer/Internationaal goederenvervoer/Doorvoer (mln tonkm)";"Totaal afgelegde treinkilometers (1 000 km)"
"2009 1e kwartaal";8967;1035;7932;7397;1745;5652;535;1500;203;1297;1209;245;964;88;2393
"2009 2e kwartaal";7419;1258;6161;5617;1732;3885;544;1226;262;964;875;243;632;89;1956
"2009 3e kwartaal";7797;1179;6618;6039;1922;4117;579;1286;244;1042;948;291;657;94;2053
"2009 4e kwartaal";9411;1086;8325;7795;2089;5706;530;1565;232;1333;1243;303;940;90;2498
"2010 1e kwartaal";9308;1081;8227;7619;1919;5700;608;1552;221;1331;1231;275;956;100;2285
"2010 2e kwartaal";9085;1063;8022;7386;2002;5384;636;1526;221;1305;1201;289;912;104;2246
"2010 3e kwartaal";8114;1269;6845;6315;2002;4313;530;1345;256;1089;1006;301;705;83;1980
"2010 4e kwartaal";9029;1320;7709;7227;1947;5280;482;1502;252;1250;1168;288;880;82;2211
"2011 1e kwartaal";9699;1311;8388;7920;2001;5919;468;1590;229;1361;1277;300;977;84;2015
"2011 2e kwartaal";10123;1316;8807;8315;2252;6063;492;1648;246;1402;1314;321;993;88;2088
"2011 3e kwartaal";9750;1504;8246;7837;2050;5787;409;1585;257;1328;1256;303;953;72;2008
"2011 4e kwartaal";9601;1437;8164;7707;1998;5709;457;1556;239;1317;1236;296;940;81;1972
"2012 1e kwartaal";9202;802;8400;7954;2141;5813;446;1502;154;1348;1265;305;960;83;1912
"2012 2e kwartaal";9410;830;8580;8117;2064;6053;463;1536;160;1376;1291;287;1004;85;1955
"2012 3e kwartaal";9534;814;8720;8295;2022;6273;425;1556;150;1406;1334;325;1009;72;1981
"2012 4e kwartaal";9481;773;8708;8264;1945;6319;444;1548;148;1400;1322;295;1027;78;1970
"2013 1e kwartaal";9998;862;9136;8559;1790;6769;577;1561;141;1420;1332;256;1076;88;2011
"2013 2e kwartaal";9354;828;8526;7989;2027;5962;537;1460;136;1324;1237;288;949;87;1880
"2013 3e kwartaal";9744;801;8943;8542;2109;6433;401;1521;132;1389;1323;296;1027;66;1959
"2013 4e kwartaal";9831;756;9075;8744;1976;6768;331;1535;129;1406;1347;280;1067;59;1977
"2014 1e kwartaal";10194;775;9419;9069;1978;7091;351;1637;141;1496;1442;301;1141;55;1984
"2014 2e kwartaal";9460;838;8622;8315;2142;6172;307;1468;138;1330;1278;311;966;53;1825
"2014 3e kwartaal";9824;834;8990;8678;2214;6464;312;1543;136;1407;1349;326;1023;58;1986
"2014 4e kwartaal";9889;820;9069;8708;2184;6524;361;1521;128;1394;1333;305;1028;60;1915
"2015 1e kwartaal";10489;942;9547;9069;2406;6663;478;1648;140;1508;1433;353;1080;75;2056
"2015 2e kwartaal";9842;734;9108;8566;2345;6221;542;1535;107;1428;1342;345;997;86;1972
"2015 3e kwartaal";10479;751;9728;9210;2387;6823;518;1631;113;1518;1439;354;1085;79;2048
"2015 4e kwartaal";10912;706;10206;9664;2325;7339;542;1732;106;1626;1542;354;1188;84;2130
"2016 1e kwartaal";11094;698;10396;9816;2411;7405;580;1714;114;1600;1517;352;1165;83;2118
"2016 2e kwartaal";10712;740;9972;9330;2498;6832;642;1677;106;1571;1474;362;1112;97;2132
"2016 3e kwartaal";9880;732;9148;8560;2404;6156;588;1592;101;1491;1396;375;1021;95;2052
"2016 4e kwartaal";10929;722;10207;9648;2572;7076;559;1659;100;1559;1478;379;1099;81;1940
"2017 1e kwartaal";11376;763;10613;9707;2706;7000;906;1793;118;1675;1526;404;1122;150;2140
"2017 2e kwartaal";9972;701;9271;8456;2504;5952;815;1558;109;1449;1311;364;947;138;1884
"2017 3e kwartaal";10058;650;9408;8489;2453;6037;919;1571;101;1469;1315;370;945;154;1888
"2017 4e kwartaal";9785;618;9167;8424;2441;5982;743;1546;95;1450;1323;370;953;128;1811
"2018 1e kwartaal**";10479;800;9680;8762;2595;6167;918;1846;126;1721;1548;545;1003;173;2160
"2018 2e kwartaal**";9685;772;8913;8026;2352;5675;887;1630;126;1504;1344;395;949;160;2021
"2018 3e kwartaal**";10330;827;9503;8441;2429;6011;1062;1728;131;1596;1403;403;1000;194;2159
"2018 4e kwartaal**";11082;794;10288;9151;2479;6672;1137;1822;126;1696;1496;406;1090;200;2185
"2019 1e kwartaal**";11426;830;10596;9405;2425;6980;1191;1883;131;1752;1536;376;1159;216;2299
"2019 2e kwartaal**";10780;799;9981;8858;2324;6534;1123;1794;129;1665;1462;366;1096;202;2234
"2019 3e kwartaal**";10447;800;9648;8608;2307;6301;1039;1774;125;1649;1464;375;1089;185;2270
"2019 4e kwartaal**";10000;795;9205;8229;2171;6058;976;1629;120;1509;1334;334;1000;175;2137
"2020 1e kwartaal*";10747;759;9988;8979;2381;6598;1008;1794;119;1675;1489;367;1122;186;2243
"2020 2e kwartaal*";8676;720;7955;7074;2071;5003;881;1461;113;1348;1183;322;862;165;1857
"2020 3e kwartaal*";9585;854;8731;7734;2380;5355;996;1589;133;1456;1273;363;910;183;2066
"2020 4e kwartaal*";11009;879;10130;8941;2472;6469;1190;1820;138;1683;1469;381;1088;214;2267
"2021 1e kwartaal*";10593;806;9787;8799;2464;6335;988;1774;133;1640;1450;377;1073;190;2231
"2021 2e kwartaal*";11044;810;10234;9238;2582;6657;996;1874;140;1733;1544;401;1143;189;2277
"2021 3e kwartaal*";10510;780;9730;8987;2558;6429;742;1790;138;1651;1506;399;1107;145;2219
"2021 4e kwartaal*";10474;747;9727;8960;2579;6382;767;1751;129;1621;1466;398;1068;155;2248
"2022 1e kwartaal*";10939;813;10126;9266;2641;6626;859;1806;140;1666;1505;399;1106;161;2374
"2022 2e kwartaal*";11524;815;10709;9480;2601;6878;1229;1872;141;1731;1525;384;1141;206;2300
"2022 3e kwartaal*";11285;820;10465;9632;2686;6946;833;1812;142;1670;1529;387;1142;141;2211
"2022 4e kwartaal*";10721;713;10008;9328;2537;6791;679;1686;128;1558;1437;352;1085;121;2094
"2023 1e kwartaal*";11083;623;10460;9622;2511;7111;838;1789;108;1681;1536;365;1171;145;2198
"2023 2e kwartaal*";9436;601;8835;8114;2519;5596;721;1596;105;1492;1367;394;973;125;2079
